Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission requirements,Lecture period,Find Student advisory service,Links
Computational science in engineering,Technical University Braunschweig,Braunschweig,4 semesters,Mechanical Engineering | Applied Mathematics | Engineering Informatics,"Mathematical Foundations, Computational Engineering and Methods, Engineering Tracks (mandatory): Solid or Fluid Mechanics, Information Technology and others",01.01.2026 - 15.03.2026,Winter Semester only,"Different application deadline: 
Cut-off deadline for non-EU citizens requiring a visa is 15 March; for EU citizens and visa-exempt persons 15 July",Local admission restriction | https://www.tu-braunschweig.de/cse/apply,The selection committee may decide in individual cases that one of the two language certificates may be postponed to a point in time later than at the time of application.,07.04.2025 - 19.07.2025 | 20.10.2025 - 08.02.2026,zsbattu-braunschweig.de | https://www.tu-braunschweig.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-braunschweig-computational-science-in-engineering-w5668/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w5668&hec-offset=44"
Computational Sciences,Free University Berlin,Berlin,4 semesters,Applied Computer Science | Applied Mathematics,-,Expired,Winter Semester only,-,Local admission restriction | https://www.fu-berlin.de/studium/bewerbung/master/konsekutive-masterstudiengaenge/index.html,-,14.04.2025 - 19.07.2025 | 13.10.2025 - 14.02.2026,info-serviceatfu-berlin.de | http://www.fu-berlin.de/studium/beratung/ssc/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-berlin-computational-sciences-w54278/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w54278&hec-offset=45"
Computer and Information Science,University of Konstanz,Konstanz,4 semesters,Computer Science,"Algorithmics, Data Science, Interactive Systems, Software and Systems, Visual Computing, Media Design Exhibition","For applicants with a visa requirement for Germany, the deadline is always 15/12. (summer semester) or 15.5. (winter semester) from preclusion period. | For applicants with a visa requirement for Germany, the deadline is always 15/05. (winter semester) or 15/12. (summer semester) as a cut-off deadline.",Summer and Winter Semester,"The Master's degree programme in Computer and Information Science offers students the opportunity to specialise in certain areas of computer science or information science, particularly in the area of research into large amounts of data (data science), visualisation (visual computing) and human-machine interaction (HCI).",Without admission restriction | https://www.uni-konstanz.de/studieren/vor-dem-studium/bewerbung-und-immatrikulation/zulassungssatzungen/,"The Master's Selection Committee decides on your suitability for the Master's degree programme with the help of a points system. Please visit the Master's degree programme website for detailed information on the selection procedure and admission requirements: 
https://www.informatik.uni-konstanz.de/study/master-of-science/admission-procedure/",20.10.2025 - 07.02.2026 | 07.04.2026 - 18.07.2026,studienberatungatuni-konstanz.de | https://www.uni.kn/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-konstanz-computer-and-information-science-w6312/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w6312&hec-offset=46"
Computer Engineering for IOT SYSTEMS,Hochschule Nordhausen,Nordhausen,3 semesters,Computer Engineering,-,"The application period is valid for the summer semester of 2024.
Please use the application portal of uni-assist. | Expired",Summer and Winter Semester,-,Local admission restriction | https://www.uni-assist.de/en/,"Entry requirements
• Bachelor‘s degree in Computer Engineering or similar fields
• US-GPA above 3.3 (is equal to German grading system 2.5 or less)
• English proficiency (TOEFL iBT 79, IELTS 6.0 or completed Bachelor‘s programme in English)
• APS (students from China and Vietnam)

(1)	Admission requirements to the Master's degree programme in Computer Engineering for IoT Systems is proof of a first certificate of academic degree in a degree course in computer science or computer science related to at least three years with the Bachelor’s academic degree in Engineering (B.Eng.) or a professionally comparable professionally qualifying certificate of academic degree.


The approval of the study programme by the supervisory authority is still pending.
The approval of the study programme by the supervisory authority is still pending.",01.04.2025 - 12.07.2025 | 13.10.2025 - 07.02.2026,studienberatungaths-nordhausen.de | https://www.hs-nordhausen.de/service/studien-service-zentrum/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-nordhausen-computer-engineering-for-iot-systems-w65163/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w65163&hec-offset=47"
Computer Science,University of Stuttgart,Stuttgart,4 semesters,Computer Science,"Theoretical Computer Science, Visual Computing, Information Visualisation and Scientific Visualisation, Autonomous Systems, Robotics and Artificial Intelligence, Service Technology and Engineering, Business Process Management, Data Engineering, Information Security",15.05.2026 - 15.07.2026 | 01.12.2025 - 15.01.2026,Summer and Winter Semester,The course is taught in English. Application deadline: 15 January for the winter semester\; 15 July for the summer semester. You must apply for this course 9 months in advance.,Without admission restriction | https://www.uni-stuttgart.de/studium/bewerbung/master/,"Proficiency of English is required for this course of study, to be proven by way of a language certificate. The exact admission and selection criteria can be found on the following web page: www.uni-stuttgart.de/studium/bewerbung/master/zulassung",13.10.2025 - 07.02.2026 | 07.04.2026 - 18.07.2026,zsbatuni-stuttgart.de | https://www.uni-stuttgart.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computer-science-w42091/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w42091&hec-offset=48"
Computer Science,Technical University of Hamburg,Hamburg,4 semesters,Engineering Informatics,"Applied Mathematics, Business Administration, Computer Science, Mathematics, Software Engineering",Expired | Until 15.01.2026,Summer and Winter Semester,"Course commencement in the winter semester is recommended\; Can be studied in combination with the MA/MBA at the NIT (www.nithh.de)

The dual study programme (dual@TUHH) has been offered since 2003 at the TUHH in the form of a practice-integrated programme. Information on the course of the dual study programme, a list of cooperating companies and the contact persons of the coordinating office dual@TUHH can be found at: dual.tuhh.de.",Without admission restriction,"First professionally qualifying degree with at least good grades, obtained at a German or international university.
The necessary subject-specific requirements and competencies can be found here: https://www.tuhh.de/tuhh/studium/bewerbung/masterstudiengaenge-deutschsprachig/anforderungen-fuer-die-master-studiengaenge.html.",07.04.2025 - 19.07.2025 | 13.10.2025 - 31.01.2026,studienberatungattuhh.de | https://www.tuhh.de/tuhh/studium/ansprechpartner/studienberatung.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-hamburg-computer-science-w46833/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w46833&hec-offset=49"
Computer Science,University of Siegen,Siegen,4 semesters,Computer Science,-,Staff in the STARTING Department at the University Siegen can provide further information on the application deadlines. The contact persons and contact details can be found at http://www.uni-siegen.de/starting.,Winter Semester only,Study Foci: Embedded Systems and Visual Computing.,Without admission restriction | http://www.master-cs.eti.uni-siegen.de,"1) Anyone who has successfully completed the Bachelor's degree programme of computer science or an equivalent first degree qualifying for a profession.

2) In special exceptions, the relevant examination board will decide on a case-by-case basis.",07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,info.studienberatungatzsb.uni-siegen.de | https://www.uni-siegen.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-siegen-computer-science-w61896/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w61896&hec-offset=50"
Computer Science,IU International University,Erfurt,4 semesters,Data Science,"Programming with Python, Advanced Mathematics, Advanced Statistics, Data Science, Algorithmics, Big Data Technologies, Artificial Intelligence, Networks and Distributed Systems",none,Admission in all quarters,"Computer Science is a subject area that is changing rapidly, is at the cutting edge of our age and has become the pacemaker for the digital society of the future. In the English-language IU Master's degree programme in Computer Science, you will focus on Data Science, Cybersecurity and Artificial Intelligence. Due to the unmet need for experts on these topics, you will become a sought-after specialist who can work in almost all industries. Your Master's degree course provides you with all the necessary skills to establish yourself as a specialist on the international labour market.",Without admission restriction | https://iu.prf.hn/click/camref:1101l4noP/creativeref:1011l47100,"You have completed an apprenticeship or further education, work experience or have already studied? Then let your previous achievements be recognized for the correspondence course! This way you save time as well as tuition fees - namely EUR 30 per recognized ECTS point.
\t
- Shortening your study time: Skip individual modules or entire semesters!
- Save on tuition: For every ECTS point you get you save EUR 30.

We will be happy to check before your application for distance learning whether and to what extent we can take your previous achievements into account: noncommittally and 100% online. Simply fill out our online recognition form.",-,- | -,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-computer-science-w64341/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64341&hec-offset=51"
Computer Science,University of Freiburg,Freiburg,4 semesters,Computer Science,"Robotics and Autonomous Intelligent Systems, Artificial Intelligence, Machine Learning, Image Recognition and Computer Graphics, Software Development and Programming Languages, Embedded Systems, Theoretical and Applied Algorithms, Networks and Distributed Systems, Data Management and Communication, Bioinformatics",Different application deadlines apply for Master’s and postgraduate courses. You can find more detailed information on the websites of the departments. | Different application deadlines apply for Master’s and postgraduate courses. You can find more detailed information on the websites of the departments.,Summer and Winter Semester,"Application deadline 
for EU citizens: 15 January and 15 July\; 
For non-EU citizens: 15 December and 1 June",Without admission restriction | https://www.studium.uni-freiburg.de/de/studienangebot/studienfaecher/info/181,Admission requirements according to admission regulations,22.04.2025 - 26.07.2025 | 13.10.2025 - 07.02.2026,studiumatuni-freiburg.de | http://www.studium.uni-freiburg.de/de/beratung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-freiburg-computer-science-w12313/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w12313&hec-offset=52"
Computer Science,Rhineland-Palatinate Technical University of Kaiserslautern-Landau,Kaiserslautern,4 semesters,Computer Science,"Algorithms, Information Systems, Communication Systems, Embedded Systems, Computer Graphics and Visualisation, Intelligent Systems, Robotics, Software Engineering, Verification",Information on the application procedure and deadlines will be made available in good time on the Rhineland-Palatinate Technical University website. | Information on the application procedure and deadlines will be made available in good time on the Rhineland-Palatinate Technical University website.,Summer and Winter Semester,-,Without admission restriction | https://rptu.de/studium/vor-dem-studium/bewerbung,"Further details are stipulated in the registration and examination regulations.
Please enquire at the institution of higher education.",22.04.2025 - 26.07.2025 | 20.10.2025 - 07.02.2026,studyatrptu.de | https://rptu.de/studium/beratung-orientierung/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-computer-science-w12519/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w12519&hec-offset=53"
Computer Science,Berlin University of Technology,Berlin,4 semesters,Computer Science,"System Engineering, Dependable Systems, Intelligent Systems, Communication Based Systems",Expired (Universitywide deadline) | Expired (Universitywide deadline),Summer and Winter Semester,-,Without admission restriction | https://www.tu.berlin/studierendensekretariat/bewerbung-einschreibung-master/,Please follow the weblink: https://www.tu.berlin/go1036/s179/,15.04.2024 - 20.07.2024 | 13.10.2025 - 14.02.2026,studienberatungattu-berlin.de | https://www.tu.berlin/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-technology-computer-science-w15731/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w15731&hec-offset=54"
Computer Science,University of Bonn,Bonn,4 semesters,Computer Science,"Algorithmics, Graphics, Vision and Audio, Information and Communication Management, Intelligent Systems","https://www.uni-bonn.de/de/studium/bewerbung-zulassung-und-einschreibung/bewerbungsfristen | No standard application deadlines in the advanced degree programmes, please note the websites of the programmes.",Summer and Winter Semester,-,Without admission restriction | https://www.uni-bonn.de/de/studium/bewerbung-zulassung-und-einschreibung/bewerbung-zulassung-und-einschreibung,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatuni-bonn.de | https://www.uni-bonn.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-computer-science-w18320/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w18320&hec-offset=55"
Computer Science,Technical University of Darmstadt,Darmstadt,4 semesters,Applied Computer Science | Computer Science | Theoretical Computer Science | Engineering Informatics | Data Science,"Software, Hardware, Practical Computer Science, Technical Computer Science, Applied Computer Science, Data Science and Engineering, Data Systems Applications",www.tu-darmstadt.de/application | www.tu-darmstadt.de/application,Summer and Winter Semester,"YouTube Playlist for Prospective Students: https://youtube.com/playlist?list=PLdr164frkwAurwsTk-XY7hljxFY-T6DQe 
Part-time study: www.teilzeitstudium.tu-darmstadt.de.",Without admission restriction | https://www.tu-darmstadt.de/studieren/studieninteressierte/bewerbung_zulassung_tu/bewerbung_master/index.de.jsp,"Es kann eine Eingangsprüfung verlangt werden, die vor Ort in Darmstadt stattfindet.",13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,infoatzsb.tu-darmstadt.de | http://www.zsb.tu-darmstadt.de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-computer-science-w69295/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w69295&hec-offset=56"
Computer Science,University of Hannover,Hannover,4 semesters,Computer Science | Practical Computer Science | Software Engineering,"Real-time systems and energy informatics, Information Retrieval and Intelligent Systems, IT Security and Human-Computer Interaction, Software Engineering and Simulation, System and Computer Architecture, Theoretical Computer Science, Visual Analytics and Knowledge-Based Systems, Computational Health Informatics, Databases and Information Systems, Data Science and Digital Libraries",Expired | Expired,Summer and Winter Semester,-,Local admission restriction | https://www.uni-hannover.de/de/studium/immatrikulation/bewerbung/zugangsordnung/,"Admission requirement for the Master's course is a Bachelor's or equivalent degree in Computer Science or a closely related subject.

You can find the detailed requirements in the admission regulations for this degree course:
www.uni-hannover.de/zugangsordnung",07.04.2025 - 19.07.2025 | 13.10.2025 - 31.01.2026,studienberatungatuni-hannover.de | https://www.uni-hannover.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computer-science-w70166/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w70166&hec-offset=57"
Computer Science,University of Applied Sciences Fresenius,"Köln, Berlin",4 semesters,Computer Science,"Cyber Attacks & Threat Management, Intelligent Systems, Machine Learning",There are no application deadlines. There are special procedures for verifying qualifications or the ability to qualify for the intended course of study.,Winter Semester only,"Have you completed your bachelor's degree in Computer Science or a related field and are you now ready to advance your career? Are you eager to become a digital expert and enhance your methodological and technological knowledge in Cyber Security and Artificial Intelligence through a study program in Germany? If so, our English-language Master's program in Computer Science (MSc) is the perfect choice for you.",Without admission restriction | https://www.hs-fresenius.com/study-programs/computer-science-master/#admission-criteria/?crmid=aBbWvAcDaAaAniAaA,"You need to have a completed bachelor's degree with at least 180 credit points.
In your bachelor’s degree you must have gained at least 60 credit points in the fields of computer science, software engineering, information technology, or another field with at least 60 CP in computer science-related topics such as mathematics, programming, design, and software architecture.
Your English language skills must be equivalent to Level B2 of the European Framework of Reference for Languages (CEFR).",01.09.2025 - 28.02.2026 | 01.03.2026 - 31.08.2026,- | -,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-fresenius-computer-science-w72013/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w72013&hec-offset=58"
Computer Science,Karlsruhe Institute of Technology (KIT),Karlsruhe,4 semesters,Computer Science | Mathematics | Statistics | Technomathematics | Artificial Intelligence | Data Science,"Business and Economics, Computational Chemistry, Computational Earth System Sciences, Computational Mechanics and Thermodynamics, Computational Physics, Electrical Engineering and Information Technology, Process Engineering, Robotics and Autonomous Systems, Mathematik, Informatik",15.11.2025 - 15.01.2026 | 15.05.2026 - 15.07.2026,Summer and Winter Semester,-,Local admission restriction | https://www.sle.kit.edu/vorstudium/master-computer-science.php,"Mindestleistungen in bestimmten Fächern, siehe Zulassungssatzung",27.10.2025 - 21.02.2026 | 20.04.2026 - 01.08.2026,infoatzsb.kit.edu | https://www.zsb.kit.edu,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/karlsruhe-institute-of-technology-kit-computer-science-w73116/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w73116&hec-offset=59"
Computer Science,Ruhr University Bochum,Bochum,4 semesters,Artificial Intelligence | Data Science,-,No information | Until 30.04.2026,Summer and Winter Semester,-,Without admission restriction | https://studium.ruhr-uni-bochum.de/de/kontakt-zur-zulassungsstelle,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatrub.de | https://www.ruhr-uni-bochum.de/zsb/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computer-science-w74171/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w74171&hec-offset=60"
Computer Science,Paderborn University,Paderborn,4 semesters,Computer Science,-,Information at the International Office | Information at the International Office,Summer and Winter Semester,-,Without admission restriction | https://www.uni-paderborn.de/studienangebot/studiengang/informatik-master/,"Degree that includes the following skills:

- at least 20 CP in the field of Software Technology
- at least 20 CP in the field of Theoretical Computer Science,
- at least 15 CP in the field of Technical Computer Science,
- at least 15 CP in the field of Mathematical Principles of Computer Science and
The degree must have been completed with an overall grade of at least 3.0 and proficiency in English must be demonstrated (see Examination Regulations).",07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatupb.de | http://zsb.uni-paderborn.de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/paderborn-university-computer-science-w7683/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7683&hec-offset=61"
Computer science,Saarland University,Saarbrücken,4 semesters,Computer Science,"Security and Privacy, Security, Telecommunications, Image Processing and Computer Vision, Compiler Construction, Verification Complexity Theory, Complexity Theory, etc., Human-Computer Interaction, Machine Learning Human-Computer-Interaction, Artificial Intelligence","Until 15.01.2026 (Universitywide deadline) | Please note that different deadlines may apply for the Master's courses, see: www.uni-saarland.de/studium/bewerbung/master.html",Summer and Winter Semester,"Free enrolment once admission has been granted
Within the framework of the EIT ICT Labs Master School, the international study variant Security and Privacy is possible. However, as of winter semester 2018/19, Saarbrücken is no longer available as a participating location.",Without admission restriction | https://www.uni-saarland.de/studium/angebot/master/informatik.html,"Admission requirements are either a Bachelor''s degree in Computer Science or comparable completed studies as well as special aptitude for the subject.

Further information on the admission requirements.
The application is to be sent to the department for aptitude assessment.
Study variant Security and Privacy:
http://www.infsec.cs.uni-saarland.de/eitict-master/",13.10.2025 - 06.02.2026 | 07.04.2026 - 17.07.2026,studienberatungatuni-saarland.de | https://www.uni-saarland.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-computer-science-w7881/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7881&hec-offset=62"
Computer Science - Big Data and Artificial Intelligence,SRH University of Applied Sciences Heidelberg,"Berlin, Leipzig",4 semesters,Applied Computer Science | Computer Science | Artificial Intelligence | Data Science,"Cloud Computing, Big Data, Artificial Intelligence, Machine Learning, Software Development, Programming",You can apply to SRH University at any time. | You can apply to SRH University at any time.,Summer and Winter Semester,"Our degree program offers you a computer science education that includes classical modules such as software development and programming, but also provides specialised knowledge in the field of Big Data and Artificial Intelligence.

You learn about the latest big data technologies and how to implement AI and machine learning tools in companies and the business environment. In addition to technological expertise, the practice-oriented curriculum helps you to specialise your analytical, business and soft skills in various projects and internships.",Without admission restriction | https://www.srh-university.de/de/plp/msc-computer-science-big-data-ai/?utm_source=wkz-HSptlHSK&mtm_placement=wkz-HSptlHSK&mtm_source=ptl&mtm_medium=HSK,Proof of required English language skills,01.10.2025 - 31.03.2026 | 01.04.2026 - 30.09.2026,studienberatung.hsgatsrh.de | https://www.srh-university.de/de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-computer-science-big-data-and-artificial-intelligence-w64006/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64006&hec-offset=63"
Computer Science - Cyber Security,SRH University of Applied Sciences Heidelberg,"Berlin, Leipzig",4 semesters,Applied Computer Science | Computer Science | Practical Computer Science | Information Systems and Management,"Cyber Security, Information Security, Information Security, IT Security, Computer Science, Business Informatics, Data Analysis, Data Analysis, Data Security, Safety",You can apply to SRH University at any time. | You can apply to SRH University at any time.,Summer and Winter Semester,"Our degree course trains you to become a cyber security specialist who has profound IT knowledge and who can plan and implement information security systems and measures in companies and other institutions. 

You will deal with current topics such as blockchain, DevSecOps and cryptocurrencies and receive comprehensive training in the field of information security. In addition to specialised knowledge in security technologies, IT security management and data analysis, you are just as familiar with operational processes and organisational theory as you are with the legal challenges in data protection.",Without admission restriction | https://www.srh-university.de/en/plp/msc-computer-science-cyber-security/?utm_source=wkz-HSptlHSK&mtm_placement=wkz-HSptlHSK&mtm_source=ptl&mtm_medium=HSK,"To apply for the Master's degree programme in Computer Science - Cyber Security, you will need:

- University or university of applied sciences degree (Bachelor’s or Diploma degree) in computer science and related disciplines
-Letter of motivation
- Certificate of general or subject-specific higher education entrance qualification
- Proof of English
- Curriculum vitae with current passport photo
- Copy of identity document (front and back) or, for foreign students, copy of passport or national identity card",01.10.2025 - 31.03.2026 | 01.04.2026 - 30.09.2026,studienberatung.hsgatsrh.de | https://www.srh-university.de/de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-computer-science-cyber-security-w61451/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w61451&hec-offset=64"
Computer Science at the Hasso Plattner Institute,University of Potsdam,Potsdam,4 semesters,Applied Computer Science | Computer Science | Software Engineering,-,Expired | 01.11.2025 - 01.12.2025,Summer and Winter Semester,-,Local admission restriction,See https://www.uni-potsdam.de/fileadmin/projects/studium/docs/01_studienangebot/06_master/studium_master.pdf,16.10.2025 - 06.02.2026 | 13.04.2026 - 24.07.2026,studienberatungatuni-potsdam.de | https://www.uni-potsdam.de/studium/beratung/zsb.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-computer-science-at-the-hasso-plattner-institute-w70337/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w70337&hec-offset=65"
Computer Science in Natural Sciences,Bielefeld University,Bielefeld,4 semesters,Bioinformatics | Computer Science,-,01.12.2025 - 15.01.2026 | 01.06.2026 - 15.07.2026,Summer and Winter Semester,-,Without admission restriction | https://www.uni-bielefeld.de/studium/studieninteressierte/bewerbung/,"A requirement is participation in an application procedure, in which assessment of the
application documents decides who will be admitted. The application documents must be submitted to the registrar's office at the Universität Bielefeld by the specified deadline.
Further information can be found on Bielefeld University website or in the ""Subject-Specific Regulations"" published there.",07.04.2025 - 18.07.2025 | 07.10.2024 - 31.01.2025,zsbatuni-bielefeld.de | https://www.uni-bielefeld.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bielefeld-university-computer-science-in-natural-sciences-w10081/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w10081&hec-offset=66"
Computer Science International,University of Rostock,Rostock,4 semesters,Computer Science,-,01.10.2025 - 30.11.2025 | 01.04.2026 - 31.05.2026,Summer and Winter Semester,-,Without admission restriction | https://www.uni-rostock.de/index.php?id=887,-,13.10.2025 - 30.01.2026 | 07.04.2026 - 17.07.2026,studiumatuni-rostock.de | https://www.uni-rostock.de/index.php?id=22948,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computer-science-international-w65237/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w65237&hec-offset=67"
